ticker,name,exchange,sector_yf
PH,Parker Hannifin,NYSE,Industrials
PHM,PulteGroup,NYSE,Consumer Cyclical
PKG,Packaging Corporation of America,NYSE,Basic Materials
PLAB,Photronics Inc,NASDAQ,Technology
PLD,Prologis,NYSE,Real Estate
PLTR,Palantir Technologies,NYSE,Technology
PLXS,Plexus Corp,NASDAQ,Technology
PM,Philip Morris International,NYSE,Consumer Defensive
PMVP,PMV Pharmaceuticals,NASDAQ,Healthcare
PNC,PNC Financial Services,NYSE,Financial Services
PNR,Pentair,NYSE,Industrials
PNW,Pinnacle West Capital,NYSE,Utilities
PODD,Insulet Corporation,NYSE,Healthcare
POOL,Pool Corporation,NYSE,Consumer Cyclical
PPG,PPG Industries,NYSE,Basic Materials
PPL,PPL Corporation,NYSE,Utilities
PRAA,PRA Group,NASDAQ,Financial Services
PRU,Prudential Financial,NYSE,Financial Services
PSA,Public Storage,NYSE,Real Estate
PSKY,Paramount Skydance Corporation,NYSE,Communication Services
PSX,Phillips 66,NYSE,Energy
PTC,PTC Inc.,NYSE,Technology
PTCT,PTC Therapeutics,NASDAQ,Healthcare
PWR,Quanta Services,NYSE,Industrials
PYPL,PayPal,NYSE,Financial Services
Q,Qnity Electronics,NYSE,Technology
QCOM,Qualcomm,NYSE,Technology
QCRH,QCR Holdings,NASDAQ,Financial Services
QLYS,Qualys Inc,NASDAQ,Technology
RAMP,LiveRamp Holdings,NYSE,Technology
RBCAA,Republic Bancorp,NASDAQ,Financial Services
RCL,Royal Caribbean Group,NYSE,Consumer Cyclical
RCM,R1 RCM Inc,NASDAQ,Healthcare
REG,Regency Centers,NYSE,Real Estate
REGN,Regeneron Pharmaceuticals,NYSE,Healthcare
REX,REX Energy Corp,NYSE,Energy
RF,Regions Financial Corporation,NYSE,Financial Services
RJF,Raymond James Financial,NYSE,Financial Services
RL,Ralph Lauren Corporation,NYSE,Consumer Cyclical
RLGT,Radiant Logistics,NYSE,Industrials
RMD,ResMed,NYSE,Healthcare
ROCK,Gibraltar Industries,NASDAQ,Industrials
ROK,Rockwell Automation,NYSE,Industrials
ROL,"Rollins, Inc.",NYSE,Industrials
ROP,Roper Technologies,NYSE,Technology
ROST,Ross Stores,NYSE,Consumer Cyclical
RSG,Republic Services,NYSE,Industrials
RSKIA,George Risk Industries,NASDAQ,Technology
RTX,RTX Corporation,NYSE,Industrials
RUSHA,Rush Enterprises,NASDAQ,Industrials
RVTY,Revvity,NYSE,Healthcare
RYAM,Rayonier Advanced Materials,NYSE,Basic Materials
SAFE,Safehold Inc,NYSE,Real Estate
SANA,Sana Biotechnology,NASDAQ,Healthcare
SBAC,SBA Communications,NYSE,Real Estate
SBCF,Seacoast Banking Corp,NASDAQ,Financial Services
SBSI,Southside Bancshares,NASDAQ,Financial Services
SBUX,Starbucks,NYSE,Consumer Cyclical
SCHL,Scholastic Corp,NASDAQ,Communication Services
SCHW,Charles Schwab Corporation,NYSE,Financial Services
SCVL,Shoe Carnival,NASDAQ,Consumer Cyclical
SFBS,ServisFirst Bancshares,NASDAQ,Financial Services
SFNC,Simmons First National,NASDAQ,Financial Services
SGH,SMART Global Holdings,NASDAQ,Technology
SHBI,Shore Bankshares,NASDAQ,Financial Services
SHW,Sherwin-Williams,NYSE,Basic Materials
SIGI,Selective Insurance Group,NASDAQ,Financial Services
SITM,SiTime Corp,NASDAQ,Technology
SJM,J.M. Smucker Company (The),NYSE,Consumer Defensive
SKIN,Beauty Health Co,NASDAQ,Consumer Cyclical
SLB,Schlumberger,NYSE,Energy
SLGN,Silgan Holdings,NASDAQ,Consumer Defensive
SMBC,Southern Missouri Bancorp,NASDAQ,Financial Services
SMBK,SmartFinancial Bancshares,NASDAQ,Financial Services
SMCI,Supermicro,NYSE,Technology
SMPL,Simply Good Foods,NASDAQ,Consumer Defensive
SNA,Snap-on,NYSE,Industrials
SNBR,Sleep Number Corp,NASDAQ,Consumer Cyclical
SNDK,Sandisk,NYSE,Technology
SNPS,Synopsys,NYSE,Technology
SO,Southern Company,NYSE,Utilities
SOLV,Solventum,NYSE,Healthcare
SPG,Simon Property Group,NYSE,Real Estate
SPGI,S&P Global,NYSE,Financial Services
SPOK,Spok Holdings,NASDAQ,Communication Services
SRCE,1st Source Corp,NASDAQ,Financial Services
SRE,Sempra,NYSE,Utilities
SRPT,Sarepta Therapeutics,NASDAQ,Healthcare
STBA,S&T Bancorp,NASDAQ,Financial Services
STE,Steris,NYSE,Healthcare
STEP,StepStone Group,NASDAQ,Financial Services
STLD,Steel Dynamics,NYSE,Basic Materials
STRL,Sterling Infrastructure,NASDAQ,Industrials
STT,State Street Corporation,NYSE,Financial Services
STX,Seagate Technology,NYSE,Technology
STZ,Constellation Brands,NYSE,Consumer Defensive
SUPN,Supernus Pharmaceuticals,NASDAQ,Healthcare
SVRA,Savara Inc,NASDAQ,Healthcare
SW,Smurfit Westrock,NYSE,Basic Materials
SWBI,Smith & Wesson Brands,NASDAQ,Industrials
SWK,Stanley Black & Decker,NYSE,Industrials
SWKS,Skyworks Solutions,NYSE,Technology
SYF,Synchrony Financial,NYSE,Financial Services
SYK,Stryker Corporation,NYSE,Healthcare
SYY,Sysco,NYSE,Consumer Defensive
T,AT&T,NYSE,Communication Services
TALO,Talos Energy,NYSE,Energy
TAP,Molson Coors Beverage Company,NYSE,Consumer Defensive
TCBK,TriCo Bancshares,NASDAQ,Financial Services
TCMD,Tactile Systems Technology,NASDAQ,Healthcare
TDG,TransDigm Group,NYSE,Industrials
TDY,Teledyne Technologies,NYSE,Technology
TECH,Bio-Techne,NYSE,Healthcare
TEL,TE Connectivity,NYSE,Technology
TER,Teradyne,NYSE,Technology
TFC,Truist Financial,NYSE,Financial Services
TGT,Target Corporation,NYSE,Consumer Defensive
TGTX,TG Therapeutics,NASDAQ,Healthcare
TILE,Interface Inc,NASDAQ,Industrials
TJX,TJX Companies,NYSE,Consumer Cyclical
TKO,TKO Group Holdings,NYSE,Communication Services
TMO,Thermo Fisher Scientific,NYSE,Healthcare
TMUS,T-Mobile US,NYSE,Communication Services
TNDM,Tandem Diabetes Care,NASDAQ,Healthcare
TOWN,TowneBank,NASDAQ,Financial Services
TPIC,TPI Composites,NASDAQ,Industrials
TPL,Texas Pacific Land Corporation,NYSE,Energy
TPR,"Tapestry, Inc.",NYSE,Consumer Cyclical
TRGP,Targa Resources,NYSE,Energy
TRMB,Trimble Inc.,NYSE,Technology
TRNS,Transcat Inc,NASDAQ,Industrials
TROW,T. Rowe Price,NYSE,Financial Services
TRUP,Trupanion Inc,NASDAQ,Financial Services
TRV,Travelers Companies (The),NYSE,Financial Services
TSCO,Tractor Supply,NYSE,Consumer Cyclical
TSLA,"Tesla, Inc.",NYSE,Consumer Cyclical
