variant,quarter,ticker,return_90d_pct,right_tail_bucket,mechanical_exclusion_category,mechanical_detail,candidate_rank_if_eligible,candidate_hc_score_if_eligible,entry_score_0_100,rm_signal_bucket,hp_signal_bucket,rm_flags_active,hp_flags_active,primary_theme
high_conviction_top10_v1,2024Q4,CRNC,431.0526,5x_to_10x,not_variant_eligible,no_entry_or_hp_override,,,29,2+,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q2,CVNA,416.351,5x_to_10x,not_variant_eligible,no_entry_or_hp_override,,,27,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q2,EBS,330.8475,2x_to_5x,eligible_but_ranked_below_top10,entry_or_hp_override,15,82.000000,82,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q3,SNDK,324.9837,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,22,1,2+,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q2,AAOI,311.875,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,20,1,0,rm_buy_review_flag,,CATV inventory digestion
high_conviction_top10_v1,2025Q3,BE,290.5009,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,33,1,2+,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q2,BVS,274.5902,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,9,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q3,PACS,252.8915,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,23,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q2,IREN,223.4733,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,0,1,0,rm_buy_review_flag,,AI data center power capacity pivot
high_conviction_top10_v1,2023Q2,SMCI,215.7159,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,33,2+,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q4,REAL,211.1111,2x_to_5x,eligible_but_ranked_below_top10,entry_or_hp_override,40,72.000000,72,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2022Q4,SHC,196.9106,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,29,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2026Q1,AXTI,196.7843,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,37,2+,0,rm_buy_review_flag,,
high_conviction_top10_v1,2026Q1,AEHR,188.1172,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,13,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q2,NNBR,183.8095,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,23,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q3,FLNC,181.5246,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,51,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q4,FUBO,177.3333,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,17,0,0,,,
high_conviction_top10_v1,2023Q1,SLQT,175.4663,2x_to_5x,eligible_but_ranked_below_top10,entry_or_hp_override,19,77.000000,77,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q2,CTEV,170.8333,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,0,1,2+,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q2,CORZ,169.0411,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,46,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2024Q1,SMCI,167.1424,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,6,1,1,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q1,GRPN,166.2041,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,43,2+,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q1,OSCR,165.1341,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,33,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q2,PGY,164.3068,2x_to_5x,eligible_but_ranked_below_top10,entry_or_hp_override,43,71.000000,71,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q2,UPST,163.4929,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,6,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q2,SYM,161.2126,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,12,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q1,LFCR,159.0909,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,23,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2023Q1,BVS,156.8807,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,13,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2022Q2,FLNC,155.8779,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,23,1,0,rm_buy_review_flag,,
high_conviction_top10_v1,2025Q2,CTEV,155.4419,2x_to_5x,not_variant_eligible,no_entry_or_hp_override,,,13,1,0,rm_buy_review_flag,,
