variant,ticker,pick_count,quarters_selected,avg_return_90d_pct,total_return_90d_pct_points,winner_30_count,loser_minus30_count,best_quarter,best_return_90d_pct,worst_quarter,worst_return_90d_pct,primary_themes_seen,positive_contribution_rank,negative_contribution_rank
high_conviction_top10_v1,BTSG,1,2025Q4,29.4452,29.4452,0,0,2025Q4,29.4452,2025Q4,29.4452,,35,73
high_conviction_top10_v1,PAYO,1,2022Q2,29.0909,29.0909,0,0,2022Q2,29.0909,2022Q2,29.0909,,36,72
high_conviction_top10_v1,BTSGU,1,2025Q4,26.1418,26.1418,0,0,2025Q4,26.1418,2025Q4,26.1418,,37,71
high_conviction_top10_v1,XMTR,1,2024Q4,25.7205,25.7205,0,0,2024Q4,25.7205,2024Q4,25.7205,,38,70
high_conviction_top10_v1,GNE,1,2022Q1,23.0435,23.0435,0,0,2022Q1,23.0435,2022Q1,23.0435,,39,69
high_conviction_top10_v1,RELL,1,2021Q4,21.6554,21.6554,0,0,2021Q4,21.6554,2021Q4,21.6554,,40,68
high_conviction_top10_v1,IRTC,1,2025Q1,20.0607,20.0607,0,0,2025Q1,20.0607,2025Q1,20.0607,,41,67
high_conviction_top10_v1,GBTG,2,2023Q2;2024Q3,8.729,17.458,0,0,2023Q2,8.7379,2024Q3,8.7201,,42,66
high_conviction_top10_v1,CDRE,1,2023Q4,15.3821,15.3821,0,0,2023Q4,15.3821,2023Q4,15.3821,,43,65
high_conviction_top10_v1,FET,1,2022Q4,13.9164,13.9164,0,0,2022Q4,13.9164,2022Q4,13.9164,,44,64
high_conviction_top10_v1,OKTA,1,2023Q1,12.2222,12.2222,0,0,2023Q1,12.2222,2023Q1,12.2222,,45,63
high_conviction_top10_v1,HAE,1,2022Q3,11.3661,11.3661,0,0,2022Q3,11.3661,2022Q3,11.3661,,46,62
high_conviction_top10_v1,CDE,1,2024Q4,11.1285,11.1285,0,0,2024Q4,11.1285,2024Q4,11.1285,,47,61
high_conviction_top10_v1,MLR,1,2024Q2,9.589,9.589,0,0,2024Q2,9.589,2024Q2,9.589,,48,60
high_conviction_top10_v1,EZPW,2,2022Q1;2022Q4,4.54085,9.0817,0,0,2022Q1,9.9541,2022Q4,-0.8724,,49,59
high_conviction_top10_v1,UFCS,1,2022Q1,8.8647,8.8647,0,0,2022Q1,8.8647,2022Q1,8.8647,,50,58
high_conviction_top10_v1,CXM,1,2023Q1,8.4627,8.4627,0,0,2023Q1,8.4627,2023Q1,8.4627,,51,57
high_conviction_top10_v1,MELI,1,2023Q1,7.4498,7.4498,0,0,2023Q1,7.4498,2023Q1,7.4498,,52,56
high_conviction_top10_v1,RES,1,2021Q4,7.2289,7.2289,0,0,2021Q4,7.2289,2021Q4,7.2289,,53,55
high_conviction_top10_v1,EXAS,1,2023Q2,5.9694,5.9694,0,0,2023Q2,5.9694,2023Q2,5.9694,,54,54
high_conviction_top10_v1,HLX,1,2023Q3,5.2743,5.2743,0,0,2023Q3,5.2743,2023Q3,5.2743,,55,53
high_conviction_top10_v1,APP,1,2023Q3,4.6973,4.6973,0,0,2023Q3,4.6973,2023Q3,4.6973,,56,52
high_conviction_top10_v1,DNOW,1,2021Q4,2.6509,2.6509,0,0,2021Q4,2.6509,2021Q4,2.6509,,57,51
high_conviction_top10_v1,SHAK,1,2024Q1,2.6196,2.6196,0,0,2024Q1,2.6196,2024Q1,2.6196,,58,50
high_conviction_top10_v1,TAP,1,2023Q2,1.2019,1.2019,0,0,2023Q2,1.2019,2023Q2,1.2019,,59,49
high_conviction_top10_v1,NEOG,1,2026Q1,0.6012,0.6012,0,0,2026Q1,0.6012,2026Q1,0.6012,,60,48
high_conviction_top10_v1,NRDS,1,2022Q4,0.5029,0.5029,0,0,2022Q4,0.5029,2022Q4,0.5029,,61,47
high_conviction_top10_v1,NTRA,1,2024Q2,-0.3792,-0.3792,0,0,2024Q2,-0.3792,2024Q2,-0.3792,,62,46
high_conviction_top10_v1,PBI,1,2024Q4,-1.3667,-1.3667,0,0,2024Q4,-1.3667,2024Q4,-1.3667,,63,45
high_conviction_top10_v1,CTOS,1,2025Q3,-1.4682,-1.4682,0,0,2025Q3,-1.4682,2025Q3,-1.4682,,64,44
high_conviction_top10_v1,NTNX,1,2022Q4,-2.0977,-2.0977,0,0,2022Q4,-2.0977,2022Q4,-2.0977,,65,43
high_conviction_top10_v1,REAL,4,2024Q2;2025Q1;2025Q3;2025Q4,-0.5703499999999992,-2.281399999999997,1,0,2025Q3,53.4752,2025Q1,-29.5597,,66,42
high_conviction_top10_v1,WTTR,4,2022Q2;2022Q4;2023Q1;2023Q2,-0.8115749999999999,-3.2462999999999997,0,0,2023Q2,14.2069,2022Q2,-17.2254,,67,41
high_conviction_top10_v1,PAR,1,2024Q4,-3.3784,-3.3784,0,0,2024Q4,-3.3784,2024Q4,-3.3784,,68,40
high_conviction_top10_v1,STKL,2,2022Q3;2023Q1,-2.3668,-4.7336,0,0,2022Q3,7.4074,2023Q1,-12.141,,69,39
high_conviction_top10_v1,RNGR,1,2022Q2,-4.9844,-4.9844,0,0,2022Q2,-4.9844,2022Q2,-4.9844,,70,38
high_conviction_top10_v1,SXC,1,2021Q4,-5.2559,-5.2559,0,0,2021Q4,-5.2559,2021Q4,-5.2559,,71,37
high_conviction_top10_v1,GTX,2,2022Q1;2022Q4,-2.6556999999999995,-5.311399999999999,0,0,2022Q4,14.521,2022Q1,-19.8324,,72,36
high_conviction_top10_v1,CCL,1,2023Q2,-5.7627,-5.7627,0,0,2023Q2,-5.7627,2023Q2,-5.7627,,73,35
high_conviction_top10_v1,HRTG,1,2024Q1,-7.9096,-7.9096,0,0,2024Q1,-7.9096,2024Q1,-7.9096,,74,34
