ticker,variant,r_multiple,data_start,data_end,trades,total_R,avg_R,pf_R,win_rate,target_rate,stop_rate,gap_stop_rate,time_exit_rate,avg_hold_days,target_3R_count,target_4R_count,avg_effective_r,pnl_1share,avg_trade_1share
MSFT,adaptive-v1,3.0,1999-01-04,2026-05-08,23,1.0,0.043478260869565216,1.0588235294117647,0.2608695652173913,0.2608695652173913,0.7391304347826086,0.0,0.0,3.0869565217391304,23,0,3.0,25.864953994750937,1.1245632171630842
MSFT,adaptive-v2,3.0,1999-01-04,2026-05-08,6,-2.0,-0.3333333333333333,0.6,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.0,0.0,0.8333333333333334,6,0,3.0,-3.7249946594237997,-0.6208324432372999
MSFT,adaptive-v2-extreme-research,3.0,1999-01-04,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
MU,legacy,3.0,1999-01-04,2026-05-08,100,13.127625587617443,0.13127625587617442,1.1806678969779711,0.3,0.27,0.59,0.09,0.05,5.82,100,0,3.0,52.247375965118295,0.5224737596511829
MU,r3-core,3.0,1999-01-04,2026-05-08,28,24.6622207295919,0.8807935974854251,2.6249664361269387,0.5,0.4642857142857143,0.42857142857142855,0.07142857142857142,0.03571428571428571,5.428571428571429,28,0,3.0,40.30246925354008,1.4393739019121459
MU,r3-v5-broad,3.0,1999-01-04,2026-05-08,7,17.0,2.4285714285714284,18.0,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.0,0.0,3.2857142857142856,7,0,3.0,15.304984092712402,2.1864262989589145
MU,r3-v5-priority,3.0,1999-01-04,2026-05-08,7,17.0,2.4285714285714284,18.0,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.0,0.0,3.2857142857142856,7,0,3.0,15.304984092712402,2.1864262989589145
MU,adaptive-v1,3.0,1999-01-04,2026-05-08,36,14.44048825909444,0.40112467386373446,1.5879794521746462,0.3611111111111111,0.3611111111111111,0.4722222222222222,0.16666666666666666,0.0,3.611111111111111,36,0,3.0,-2.360043048858575,-0.06555675135718264
MU,adaptive-v2,3.0,1999-01-04,2026-05-08,7,17.0,2.4285714285714284,18.0,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.0,0.0,3.4285714285714284,7,0,3.0,23.974984169006348,3.4249977384294783
MU,adaptive-v2-extreme-research,3.0,1999-01-04,2026-05-08,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,3.0,-0.19000005722045898,-0.19000005722045898
NFLX,legacy,3.0,2002-05-23,2026-05-08,113,-27.310356907882245,-0.24168457440603755,0.7270886726428549,0.23008849557522124,0.21238938053097345,0.6460176991150443,0.11504424778761062,0.02654867256637168,4.938053097345133,113,0,3.0,5.655593007802974,0.050049495644274106
NFLX,r3-core,3.0,2002-05-23,2026-05-08,42,7.804756847476459,0.18582754398753473,1.2743152790874566,0.30952380952380953,0.2857142857142857,0.5476190476190477,0.09523809523809523,0.07142857142857142,5.809523809523809,42,0,3.0,21.351305037736864,0.5083644056604015
NFLX,r3-v5-broad,3.0,2002-05-23,2026-05-08,7,8.937955518429572,1.2768507883470817,3.918950254388717,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,3.0,7,0,3.0,5.851432591676632,0.8359189416680903
NFLX,r3-v5-priority,3.0,2002-05-23,2026-05-08,4,7.937955518429571,1.9844888796073927,8.474221330816423,0.75,0.75,0.0,0.25,0.0,5.0,4,0,3.0,2.556428432464605,0.6391071081161512
NFLX,adaptive-v1,3.0,2002-05-23,2026-05-08,28,-0.6599023375311903,-0.02356794062611394,0.9738628690488633,0.32142857142857145,0.2857142857142857,0.5714285714285714,0.10714285714285714,0.03571428571428571,5.428571428571429,28,0,3.0,5.688838511705418,0.2031728039894792
NFLX,adaptive-v2,3.0,2002-05-23,2026-05-08,3,4.789288439072074,1.5964294796906913,4.955763365637162,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,3.0,3,0,3.0,0.27428650856018066,0.09142883618672688
NFLX,adaptive-v2-extreme-research,3.0,2002-05-23,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
NKE,legacy,3.0,1999-01-04,2026-05-08,122,-45.8817842132826,-0.3760801984695295,0.5794657557998052,0.19672131147540983,0.16393442622950818,0.7049180327868853,0.09836065573770492,0.03278688524590164,5.057377049180328,122,0,3.0,-32.80404043197625,-0.2688855773112807
NKE,r3-core,3.0,1999-01-04,2026-05-08,58,-22.95011650382981,-0.3956916638591347,0.5104012966685824,0.1896551724137931,0.1206896551724138,0.6896551724137931,0.08620689655172414,0.10344827586206896,6.741379310344827,58,0,3.0,-14.871572971343992,-0.2564064305404137
NKE,r3-v5-broad,3.0,1999-01-04,2026-05-08,27,-15.656259685764013,-0.5798614698431116,0.36501886801575195,0.1111111111111111,0.1111111111111111,0.8518518518518519,0.037037037037037035,0.0,2.5185185185185186,27,0,3.0,-1.6412482261657697,-0.06078697133947295
NKE,r3-v5-priority,3.0,1999-01-04,2026-05-08,19,-11.656259685764013,-0.6134873518823165,0.3398228224315093,0.10526315789473684,0.10526315789473684,0.8421052631578947,0.05263157894736842,0.0,3.0,19,0,3.0,-1.4425063133239746,-0.07592138491178814
