ticker,variant,break_date,entry_date,passed_variant,reject_reasons,vol_profile,vol_regime,broken_support,support_distance_pct,fvg_age_bars,support_ratcheted_count,stop_source,entry,stop,risk,gap_pct,risk_pct,risk_atr,close_vs_sma10,ret5,atr_pct,break_range_pct,bearish_fvg_count_since_support,bearish_fvg_sequence_max_since_support,last_bearish_fvg_age_bars,bearish_fvg_gap_sum_since_support,bearish_fvg_gap_max_since_support,bearish_confirmation_source,has_break_day_bearish_fvg,has_bearish_fvg_sequence,has_bearish_fvg_since_support,has_range_displacement
COST,adaptive-v2,2025-06-05,2025-06-06,False,RISK_ATR;SUPPORT_DISTANCE;FVG_AGE,MID_VOL,NORMAL_RELATIVE_VOL,1034.27001953125,-0.023209131319752642,3,0,BREAK_HIGH,1020.6300048828124,1051.050048828125,30.420043945312614,0.009714988324152778,0.02980516328128665,1.5126835456868741,-0.01685758850490114,0.002052072232942681,0.019894921300871633,0.04455836326439694,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-06-25,2025-06-26,False,TREND;RISK_ATR;GAP,LOW_VOL,NORMAL_RELATIVE_VOL,992.0700073242188,-0.0056054791696659705,1,0,BREAK_HIGH,987.72998046875,1004.97998046875,17.25,0.001206238437276251,0.017464287144360664,1.0183857007769255,-0.0034859097673321767,0.009020995365243367,0.017169676700541123,0.019238936983275435,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-08-05,2025-08-06,False,TREND;GAP,LOW_VOL,QUIET_RELATIVE_VOL,948.6599731445312,-0.005330445445451393,1,1,BREAK_HIGH,943.6300048828124,951.5,7.869995117187614,0.0,0.00834012809730968,0.6168744229151397,0.004107391869388681,0.0096942952241037,0.013519977142020344,0.016765053296692707,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-08-14,2025-08-15,False,TREND;FVG_AGE,LOW_VOL,NORMAL_RELATIVE_VOL,977.0,-0.0016506067597407972,4,1,BREAK_HIGH,979.1400146484376,988.2899780273438,9.149963378906136,0.003844615942015382,0.009344897810341712,0.5889631600215447,0.004237749213031912,-0.0021075221575190817,0.015927694616920857,0.013440762315254751,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-08-29,2025-09-02,False,TREND;GAP;CLOSE_VS_SMA10,LOW_VOL,NORMAL_RELATIVE_VOL,944.1300048828124,-0.0008586667857191334,1,0,BREAK_HIGH,938.6599731445312,948.6099853515624,9.950012207031136,-0.004940035346971972,0.010600230639108196,0.6694546260923359,-0.01775459154226369,-0.015878284737218196,0.01575590744160473,0.008639659199028307,0,0,-1,0.0,0.0,NONE,False,False,False,False
COST,adaptive-v2,2025-09-16,2025-09-17,False,TREND;GAP;FVG_AGE,LOW_VOL,QUIET_RELATIVE_VOL,956.219970703125,-0.00435888469018121,7,1,BREAK_HIGH,953.489990234375,959.5800170898438,6.09002685546875,0.0014914690088254064,0.006387090496851232,0.4956426988194949,-0.010418932991348212,-0.027755928185633105,0.012905701344172111,0.009222041687408226,0,0,-1,0.0,0.0,BREAK_DAY_BEARISH_FVG,True,False,False,False
COST,adaptive-v2,2025-10-16,2025-10-17,False,TREND;RISK_PCT;RISK_ATR;SUPPORT_DISTANCE,LOW_VOL,NORMAL_RELATIVE_VOL,945.260009765625,-0.021218226434219233,1,2,BREAK_HIGH,929.5800170898438,957.9000244140624,28.320007324218636,0.004278237282627824,0.03046537877704993,1.8239027615746428,-0.0037991765407225566,-0.018316048810517183,0.01677486187363896,0.039692369939436846,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-11-06,2025-11-07,False,INVALID_RISK,INVALID_RISK,NORMAL_RELATIVE_VOL,928.969970703125,-0.005835935721373374,2,0,SUPPORT,929.530029296875,928.969970703125,-0.56005859375,0.0064423353655695716,-0.0006025180210408539,-0.03998379035526135,-0.002353722189287354,0.003694955814215861,0.015166137047244793,0.0180818249615796,0,0,-1,0.0,0.0,NONE,False,False,False,False
COST,adaptive-v2,2025-12-04,2025-12-05,False,TREND;GAP;FVG_AGE,MID_VOL,NORMAL_RELATIVE_VOL,903.0,-0.007970011793344629,4,0,BREAK_HIGH,897.25,907.9600219726562,10.71002197265625,0.0015515980969861226,0.01193649704391892,0.6320193694733216,-0.00973947752097008,-0.013652505098470935,0.01891558750798947,0.022190973151916128,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2025-12-29,2025-12-30,False,TREND;GAP,LOW_VOL,NORMAL_RELATIVE_VOL,869.0,-0.0013366209308578406,1,1,BREAK_HIGH,864.0,874.5,10.5,-0.004424809569319708,0.012152777777777778,0.7284797417160673,0.007400212888504579,0.014282078268411214,0.01660856624766453,0.010151637728114353,0,0,-1,0.0,0.0,NONE,False,False,False,False
COST,adaptive-v2,2026-01-27,2026-01-28,False,TREND;GAP;FVG_AGE,MID_VOL,NORMAL_RELATIVE_VOL,971.5599975585938,-0.00131917407662847,3,5,BREAK_HIGH,969.510009765625,978.0,8.489990234375,-0.0007936054623406027,0.008756990798297606,0.4443193112115221,0.003624453278122858,0.006243149638356593,0.019693137304133235,0.01678894498029448,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2026-02-10,2026-02-11,False,TREND;RISK_ATR;GAP;FVG_AGE,MID_VOL,NORMAL_RELATIVE_VOL,975.1900024414062,-0.004077326742678395,4,1,BREAK_HIGH,973.2899780273438,997.4500122070312,24.1600341796875,0.0021210193260297857,0.02482305862087973,1.2098160955674302,-0.002620724324574043,-0.0068410530087520405,0.02056156212426529,0.02929276564681443,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2026-02-18,2026-02-19,False,TREND;RET5;RISK_ATR;GAP;SUPPORT_DISTANCE,MID_VOL,NORMAL_RELATIVE_VOL,1010.47998046875,-0.014456633133728867,1,1,BREAK_HIGH,992.3099975585938,1016.0,23.69000244140625,-0.0037848561024891583,0.02387359040994385,1.0087289600541762,0.001968594592766345,0.025586150675765085,0.023577425896759336,0.022588546717096283,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
