ticker,status,cik,company_title,output_path
AIN,fetched,819793,ALBANY INTERNATIONAL CORP /DE/,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIN.json
AIOS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIOS.json
AIOT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIOT.json
AIP,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIP.json
AIR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIR.json
AIRE,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIRE.json
AIRG,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIRG.json
AIRJ,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIRJ.json
AIRJW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIRJW.json
AIRO,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIRO.json
AIRS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIRS.json
AIRT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIRT.json
AIRTP,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIRTP.json
AISP,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AISP.json
AISPW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AISPW.json
AIXC,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIXC.json
AIXI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIXI.json
AIZ,fetched,1267238,"ASSURANT, INC.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AIZ.json
AJG,fetched,354190,Arthur J. Gallagher & Co.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AJG.json
AKAM,fetched,1086222,AKAMAI TECHNOLOGIES INC,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AKAM.json
AKAN,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AKAN.json
AKBA,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AKBA.json
AKR,fetched,899629,ACADIA REALTY TRUST,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AKR.json
AKTS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AKTS.json
AKTX,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AKTX.json
ALAB,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALAB.json
ALAR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALAR.json
ALB,fetched,915913,ALBEMARLE CORP,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALB.json
ALBT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALBT.json
ALCO,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALCO.json
ALCY,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALCY.json
ALCYW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALCYW.json
ALDF,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALDF.json
ALDFU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALDFU.json
ALDFW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALDFW.json
ALDX,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALDX.json
ALEC,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALEC.json
ALEX,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALEX.json
ALF,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALF.json
ALFUW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALFUW.json
ALG,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALG.json
ALGM,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALGM.json
ALGN,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALGN.json
ALGS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALGS.json
ALGT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALGT.json
ALH,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALH.json
ALHC,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALHC.json
ALIS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALIS.json
ALISR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ALISR.json
