quarter,asof_date,ticker,included,filter_reason,liquidity_flag,asset_class,sector_gics,seed_sources,sec_facts_status,cik,revenue_fact_name,revenue_filed,revenue_form,revenue_period_end,revenue_value,price_date,raw_close,avg_dollar_volume_60d
2024Q3,2024-07-01,BANC,True,included,,Equity,,russell2000,ok,1169770,Revenues,2024-05-10,10-Q,2023-03-31,554179000,2024-07-01,12.829999923706055,31188191.272910435
2024Q3,2024-07-01,BAND,True,included,,Equity,,nasdaq;russell2000,ok,1514416,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-07,10-Q,2023-03-31,137844000,2024-07-01,17.290000915527344,5638681.990486781
2024Q3,2024-07-01,BANF,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,760498,,,,,,,,
2024Q3,2024-07-01,BANFP,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,760498,,,,,,,,
2024Q3,2024-07-01,BANL,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001914805,,,,,,,,
2024Q3,2024-07-01,BANR,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,946673,,,,,,,,
2024Q3,2024-07-01,BANX,False,sec_facts_no_us_gaap;missing_raw_yahoo_price,,Equity,,nasdaq,sec_facts_no_us_gaap,0001578987,,,,,,,,
2024Q3,2024-07-01,BAOS,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,1811216,,,,,,,,
2024Q3,2024-07-01,BARK,True,included,low_liquidity_keep,Equity,,russell2000,ok,1819574,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-03,10-K,2022-03-31,507406000,2024-07-01,34.79999923706055,1107944.8699688911
2024Q3,2024-07-01,BATL,False,adv_60d_below_hard_floor,,,,,ok,1282648,Revenues,2024-05-15,10-Q,2023-03-31,65142000,2024-07-01,3.5299999713897705,112318.12693317731
2024Q3,2024-07-01,BATRA,True,included,low_liquidity_keep,Equity,,nasdaq;russell2000,ok,0001958140,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,30972000,2024-07-01,41.0099983215332,1196651.1008580525
2024Q3,2024-07-01,BATRK,True,included,,Equity,,nasdaq;russell2000,ok,0001958140,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,30972000,2024-07-01,39.040000915527344,7675702.32650121
2024Q3,2024-07-01,BAX,True,included,,Equity,Healthcare,sp500,ok,10456,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,3513000000,2024-07-01,33.060001373291016,153209755.5616506
2024Q3,2024-07-01,BAYA,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001969475,,,,,,,,
2024Q3,2024-07-01,BAYAR,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001969475,,,,,,,,
2024Q3,2024-07-01,BBAI,False,raw_close_below_floor,,Equity,,russell2000,ok,1836981,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,42154000,2024-07-01,1.4600000381469727,6690887.708311479
2024Q3,2024-07-01,BBBY,True,included,,Equity,,russell2000,ok,1130713,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,381140000,2024-07-01,12.960000038146973,38583624.52669779
2024Q3,2024-07-01,BBCP,True,included,low_liquidity_keep,Equity,,nasdaq;russell2000,ok,1703956,Revenues,2024-06-06,10-Q,2023-04-30,201366000,2024-07-01,5.840000152587891,675310.5761170387
2024Q3,2024-07-01,BBCQ,False,sec_facts_no_us_gaap;missing_raw_yahoo_price,,Equity,,nasdaq,sec_facts_no_us_gaap,0002088295,,,,,,,,
2024Q3,2024-07-01,BBCQU,False,sec_facts_no_us_gaap;missing_raw_yahoo_price,,Equity,,nasdaq,sec_facts_no_us_gaap,0002088295,,,,,,,,
2024Q3,2024-07-01,BBCQW,False,sec_facts_no_us_gaap;missing_raw_yahoo_price,,Equity,,nasdaq,sec_facts_no_us_gaap,0002088295,,,,,,,,
2024Q3,2024-07-01,BBGI,False,adv_60d_below_hard_floor,,Equity,,nasdaq,ok,1099160,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,57779120,2024-07-01,12.600000381469727,14031.61666973432
2024Q3,2024-07-01,BBIO,True,included,,Equity,,nasdaq;russell2000,ok,1743881,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,1826000,2024-07-01,25.200000762939453,52955635.5418841
2024Q3,2024-07-01,BBLG,False,adv_60d_below_hard_floor,,Equity,,nasdaq,ok,1419554,Revenues,2021-08-16,10-Q,2021-06-30,1070000000,2024-07-01,7.199999809265137,143963.7678015868
2024Q3,2024-07-01,BBLGW,False,adv_60d_below_hard_floor,,Equity,,nasdaq,ok,1419554,Revenues,2021-08-16,10-Q,2021-06-30,1070000000,2024-07-01,43.5,16408.749955495197
2024Q3,2024-07-01,BBNX,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,0001674632,,,,,,,,
2024Q3,2024-07-01,BBOT,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001869105,,,,,,,,
2024Q3,2024-07-01,BBSI,True,included,,Equity,,nasdaq;russell2000,ok,902791,Revenues,2018-05-08,10-Q,2017-03-31,209997000,2024-07-01,32.630001068115234,4798799.291903178
2024Q3,2024-07-01,BBT,True,included,,Equity,,russell2000,ok,1108134,Revenues,2024-05-10,10-Q,2023-03-31,114139000,2024-07-01,22.790000915527344,5138051.227445602
2024Q3,2024-07-01,BBUC,False,sec_facts_no_us_gaap;missing_raw_yahoo_price,,Equity,,russell2000,sec_facts_no_us_gaap,0001871130,,,,,,,,
2024Q3,2024-07-01,BBW,True,included,,Equity,,russell2000,ok,1113809,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-13,10-Q,2023-04-29,120050000,2024-07-01,25.190000534057617,5566895.52298228
2024Q3,2024-07-01,BBY,True,included,,Equity,,sp500,ok,764478,Revenues,2024-06-07,10-Q,2023-04-29,9467000000,2024-07-01,82.29000091552734,267479481.11310324
2024Q3,2024-07-01,BCAB,True,included,low_liquidity_keep,Equity,,nasdaq,ok,1826892,Revenues,2023-11-07,10-Q,2022-09-30,0,2024-07-01,67.5,1803302.5333333334
2024Q3,2024-07-01,BCAL,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,0001795815,,,,,,,,
2024Q3,2024-07-01,BCAR,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002065779,,,,,,,,
2024Q3,2024-07-01,BCARW,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002065779,,,,,,,,
2024Q3,2024-07-01,BCAX,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,0002023658,,,,,,,,
2024Q3,2024-07-01,BCBP,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,1228454,,,,,,,,
2024Q3,2024-07-01,BCC,True,included,,Equity,,russell2000,ok,1328581,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-06,10-Q,2023-03-31,1544329000,2024-07-01,117.69000244140625,44414330.640042625
2024Q3,2024-07-01,BCDA,True,included,low_liquidity_keep,Equity,,nasdaq,ok,925741,Revenues,2018-03-16,10-K,2015-12-31,904000,2024-07-01,2.990000009536743,527867.0656585137
2024Q3,2024-07-01,BCG,True,included,,Equity,,nasdaq,ok,0001953984,Revenues,2024-05-24,10-Q,2023-03-31,43385000,2024-07-01,6.21999979019165,2731350.169928471
2024Q3,2024-07-01,BCHT,False,adv_60d_below_hard_floor,,,,,ok,728385,Revenues,2024-05-15,10-Q,2023-03-31,3012749,2024-07-01,3.299999952316284,106596.56684851646
2024Q3,2024-07-01,BCIC,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001372807,,,,,,,,
2024Q3,2024-07-01,BCML,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,Financials,nasdaq;russell2000,missing_required_revenue_fact_before_asof,1730984,,,,,,,,
2024Q3,2024-07-01,BCO,True,included,,Equity,,russell2000,ok,78890,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,1185400000,2024-07-01,100.79000091552734,25353623.80791982
2024Q3,2024-07-01,BCPC,True,included,,Equity,,nasdaq;russell2000,ok,9326,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-03-31,232540000,2024-07-01,154.10000610351562,14467200.215759277
2024Q3,2024-07-01,BCRX,True,included,,Equity,,nasdaq;russell2000,ok,882796,Revenues,2018-03-12,10-K,2015-12-31,48257000,2024-07-01,6.670000076293945,21116148.425754707
2024Q3,2024-07-01,BCTX,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,1610820,,,,,,,,
2024Q3,2024-07-01,BCTXL,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,1610820,,,,,,,,
2024Q3,2024-07-01,BCTXZ,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,1610820,,,,,,,,
2024Q3,2024-07-01,BCYC,True,included,,Equity,,nasdaq,ok,1761612,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,4896000,2024-07-01,20.290000915527344,7640026.2205473585
2024Q3,2024-07-01,BDC,True,included,,Equity,,russell2000,ok,913142,Revenues,2024-05-02,10-Q,2023-04-02,641789000,2024-07-01,91.55000305175781,23267969.339370728
2024Q3,2024-07-01,BDCI,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002042292,,,,,,,,
2024Q3,2024-07-01,BDCIU,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002042292,,,,,,,,
2024Q3,2024-07-01,BDCIW,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002042292,,,,,,,,
2024Q3,2024-07-01,BDMD,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001982444,,,,,,,,
2024Q3,2024-07-01,BDMDW,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001982444,,,,,,,,
2024Q3,2024-07-01,BDN,True,included,,Equity,,russell2000,ok,790816,Revenues,2024-04-24,10-Q,2023-03-31,129227000,2024-07-01,4.389999866485596,6271179.987545808
2024Q3,2024-07-01,BDRX,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,1643918,,,,,,,,
2024Q3,2024-07-01,BDSX,False,adv_60d_below_hard_floor,,Equity,,nasdaq,ok,1439725,Revenues,2024-05-08,10-Q,2023-03-31,9056000,2024-07-01,30.600000381469727,320669.7851196925
2024Q3,2024-07-01,BDTX,True,included,,Equity,,nasdaq,ok,1701541,RevenueFromContractWithCustomerExcludingAssessedTax,2021-03-25,10-K,2019-03-31,0,2024-07-01,4.699999809265137,4347430.826458931
2024Q3,2024-07-01,BDX,True,included,,Equity,Healthcare,sp500,ok,10795,Revenues,2024-05-02,10-Q,2023-03-31,9407000000,2024-07-01,180.24371337890625,340562958.1154134
2024Q3,2024-07-01,BE,True,included,,Equity,,russell2000,ok,1664703,Revenues,2024-05-09,10-Q,2023-03-31,275191000,2024-07-01,11.369999885559082,94078927.4326849
2024Q3,2024-07-01,BEAG,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001852207,,,,,,,,
2024Q3,2024-07-01,BEAGR,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001852207,,,,,,,,
2024Q3,2024-07-01,BEAM,True,included,,Equity,,nasdaq;russell2000;ark,ok,1745999,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-07,10-Q,2023-03-31,24208000,2024-07-01,23.049999237060547,34520905.655399956
