quarter,ticker,cik,event_accession,event_dates,primary_8k_doc,exhibit_docs,periodic_doc,primary_8k_text_len,exhibit_text_len,periodic_text_len,exhibit_table_count,exhibit_table_flag,doc_statuses,quality_pass,quality_reason,revenue_filter_keep_under_10b,revenue_bucket,revenue_value_usd,revenue_value_millions,revenue_filter_reason,revenue_fact_name_bucketed,revenue_filed_bucketed,revenue_form_bucketed,revenue_period_end_bucketed,mandatory_index_constituent,mandatory_indexes,mandatory_index_name,pipeline_status,pipeline_missing_reason
2024Q3,EYE,1710155,0001710155-24-000050,2024-08-07,eye-20240807.htm,ex991-q22024earningsrelease.htm,,3896,52408,0,10,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,520797000,520.797,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-04-01,False,,,doc_quality_passed,
2024Q3,EZPW,876523,0000876523-24-000028,2024-07-31,ezpw-20240731.htm,a2024-q3pressreleaseex991.htm,,5655,29305,0,17,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,522750000,522.75,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-01,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,F,37996,0000037996-24-000143,2024-07-24,f-20240724.htm,exhibit99tojuly242024for.htm,,4582,47494,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached,True,included,False,$10B-$50B,41474000000,41474.0,remove_revenue_10b_plus,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-25,10-Q,2023-03-31,True,SPY,Ford Motor Company,doc_quality_passed,
2024Q3,FA,1210677,0000950170-24-093275,2024-08-08,fa-20240805.htm,fa-ex99_1.htm,,7803,31302,0,9,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,175520000,175.52,keep_under_10b,Revenues,2024-05-09,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,FAST,815556,0000815556-24-000028,2024-07-12,fast-20240712.htm,ex_99106302024earningsrele.htm,,2876,32720,0,12,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$1B-$2B,1859100000,1859.1,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-16,10-Q,2023-03-31,True,QQQ;SPY,Fastenal,doc_quality_passed,
2024Q3,FBP,1057706,0001140361-24-033802,2024-07-23,ef20032737_8k.htm,ef20032737_ex99-1.htm;ef20032737_ex99-2.htm,,4632,116535,0,92,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included,True,$100M-$500M,233403000,233.403,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,FCFS,840489,0000840489-24-000105,2024-07-25,fcfs-20240725.htm,fcfs07252024exhibit991.htm,,3784,67168,0,55,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,762739000,762.739,keep_under_10b,Revenues,2024-04-29,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,FDP,1047340,0001047340-24-000200,2024-08-01,fdp-20240801.htm,august12024-earningspr.htm,,3445,33705,0,10,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$1B-$2B,1128500000,1128.5,keep_under_10b,Revenues,2024-05-03,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,FDS,1013237,0001013237-24-000119,2024-09-19,factsetamendedandrestatedb.htm,fdsq42024earningsrelease.htm,,138759,33012,0,10,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$1B-$2B,1019900000,1019.9,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-03,10-Q,2023-02-28,True,SPY,FactSet,doc_quality_passed,
2024Q3,FDX,1048911,0000950170-24-102826,2024-09-03;2024-09-19,fdx-20240903.htm,fdx-ex99_1.htm;fdx-ex99_1.htm,,5177,50472,0,22,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included,False,>$50B,68225000000,68225.0,remove_revenue_10b_plus,RevenueFromContractWithCustomerExcludingAssessedTax,2024-03-21,10-Q,2023-02-28,True,SPY,FedEx,doc_quality_passed,
2024Q3,FE,1031296,0001031296-24-000041,2024-07-30,fe-20240730.htm,ex991-q22024pressrelease.htm;ex992-2q24_fehighlightsx.htm,,14391,84264,0,2,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included,True,$2B-$10B,3231000000,3231.0,keep_under_10b,Revenues,2024-04-25,10-Q,2023-03-31,True,SPY,FirstEnergy,doc_quality_passed,
