quarter,ticker,cik,revenue_bucket,pipeline_status,pipeline_missing_reason,repair_status,repair_notes,event_accession,event_dates,primary_8k_doc,primary_8k_cached,primary_8k_text_len,exhibit_docs,exhibit_cached_count,exhibit_doc_count,exhibit_text_len,periodic_accession,periodic_doc,periodic_cached,periodic_text_len,earnings_event_ready_for_local_extraction,periodic_doc_ready,coverage_reasons,periodic_reasons
2024Q3,ARWR,879407,$100M-$500M,doc_quality_passed,,,,0001628280-24-036113,2024-08-08,arwr-20240808.htm,True,3431,arwr-202408088kex991.htm,1,1,19158,0001628280-24-036104,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ASAN,1477720,$100M-$500M,doc_quality_passed,,,,0001477720-24-000075,2024-09-03,asan-20240903.htm,True,5239,asana8-kex991q2fy25.htm,1,1,25870,0001477720-24-000078,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ASB,7789,$100M-$500M,doc_quality_passed,,,,0000007789-24-000058,2024-07-25,asb-20240725.htm,True,3820,asb06302024ex991.htm;asb2q24earningspresentat.htm,2,2,93937,0000007789-24-000062,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ASGN,890564,$1B-$2B,doc_quality_passed,,,,0000890564-24-000017,2024-07-24,asgn-20240724.htm,True,3282,earningsrelease-q224.htm,1,1,19877,0000890564-24-000019,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ASIX,1673985,$1B-$2B,doc_quality_passed,,,,0001673985-24-000102,2024-08-02,asix-20240802.htm,True,3322,exhibit99q22024prearningsa.htm,1,1,22145,0001673985-24-000107,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ASO,1817358,$1B-$2B,doc_quality_passed,,,,0001817358-24-000170,2024-09-10,aso-20240910.htm,True,3943,exhibit991pressreleaseq220.htm,1,1,23068,0001817358-24-000174,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ASTH,1083446,$100M-$500M,doc_quality_passed,,,,0001104659-24-086761,2024-08-07,tm2420865d1_8k.htm,True,3726,tm2420865d1_ex99-1.htm;tm2420865d1_ex99-2.htm,1,2,23900,0000950170-24-094262,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ATKR,1666138,$1B-$2B,doc_quality_passed,,,,0001666138-24-000067,2024-08-06,atkr-20240806.htm,True,3798,atkr3q24exhibit991.htm;q32024earningsdeck-vf.htm,2,2,51078,0001666138-24-000069,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ATMU,0001921963,$100M-$500M,doc_quality_passed,,,,0001921963-24-000096,2024-08-02,atmu-20240802.htm,True,3573,atmu2024q28-kex991.htm,1,1,18786,0001921963-24-000098,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ATNI,879585,$100M-$500M,doc_quality_passed,,,,0001104659-24-082429,2024-07-25,tm2420133d1_8k.htm,True,3254,tm2420133d1_ex99-1.htm,1,1,34766,0001558370-24-011708,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ATO,731802,$2B-$10B,doc_quality_passed,,,,0000731802-24-000021,2024-08-07,ato-20240807.htm,True,4398,ato20240807exhibit991.htm,1,1,6981,0000731802-24-000023,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ATRO,8063,$100M-$500M,doc_quality_passed,,,,0000008063-24-000043,2024-08-01,atro-20240801.htm,True,3352,ex99120240629-pr.htm,1,1,30136,0000008063-24-000048,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AVA,104918,$100M-$500M,doc_quality_passed,,,,0000950170-24-092166,2024-08-07,ava-20240807.htm,True,3791,ava-ex99_1.htm,1,1,26697,0000950170-24-092162,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AVAV,1368622,$100M-$500M,doc_quality_passed,,,,0001558370-24-012580,2024-09-04,avav-20240904x8k.htm,True,4862,avav-20240904xex99d1.htm;avav-20240904xex99d2.htm,2,2,34140,0001558370-24-012587,,False,0,True,False,ready,missing_periodic_doc_name
