Ticker,Revenue group,Net income group,Assets,Financing cash flow,Investing cash flow,Operating cash flow,return from 2024 q3 to today
CCOI,$100M-$500M,6148000,3211619000,-54616000,-23204000,35821000,-55.1347
CCRN,$500M-$1B,29436000,679317000,-46681000,-3496000,46865000,-26.7606
CCS,$500M-$1B,33311000,4139362000,-58282000,-20936000,191334000,-27.9631
CDE,$100M-$500M,-24586000,2080848000,69435000,-29317000,-35003000,234.2096
CDNS,$1B-$2B,241804000,5669491000,-197352000,-35672000,267401000,-5.9301
CDP,$100M-$500M,80398000,4177992000,-143533000,85183000,58745000,28.9263
CDRE,$100M-$500M,7002000,431179000,-9303000,-580000,12722000,-13.2423
CDW,$2B-$10B,230100000,13284600000,-348200000,-54200000,365400000,-40.3173
CECO,$100M-$500M,1978000,600291000,34359000,-26655000,-12021000,124.4444
CELH,$100M-$500M,41227000,1536396000,-6314000,980000,-13831000,-41.2621
CENX,$500M-$1B,-38600000,1846500000,-9400000,-14300000,-200000,263.9154
CF,$2B-$10B,650000000,14376000000,-410000000,-34000000,947000000,62.3704
CFG,$2B-$10B,511000000,221964000000,-5219000000,1492000000,1154000000,78.0309
CFLT,$100M-$500M,-152555000,2460809000,37729000,-52483000,-77772000,5.0508
CGNX,$100M-$500M,25615000,2017812000,-39324000,-5788000,27553000,16.2766
CHD,$1B-$2B,203200000,8569200000,-311700000,-29600000,273100000,-8.539
CHDN,$500M-$1B,155700000,6955500000,-237700000,54500000,215900000,-27.3341
CHEF,$500M-$1B,1401000,1705306000,-5141000,-59633000,-2261000,70.8312
CHRD,$500M-$1B,296999000,6926150000,-228074000,-241588000,468811000,-17.8595
CHRW,$2B-$10B,114891000,5595584000,-205992000,-26950000,254544000,111.0634
CHSCL,$10B-$50B,1074919000,18957418000,103502000,-433487000,16570000,-1.6678
CHSCM,$10B-$50B,1074919000,18957418000,103502000,-433487000,16570000,0.21
CHSCN,$10B-$50B,1074919000,18957418000,103502000,-433487000,16570000,-1.5017
CHSCO,$10B-$50B,1074919000,18957418000,103502000,-433487000,16570000,-2.951
CHTR,$10B-$50B,1021000000,147193000000,-695000000,-2739000000,3323000000,-24.3067
CI,$10B-$50B,1306000000,152761000000,-37000000,-2983000000,5028000000,-15.007
CIEN,$2B-$10B,133895000,5601495000,479575000,-277270000,-35828000,945.6616
CINF,$2B-$10B,225000000,32769000000,-197000000,-362000000,250000000,39.4403
CL,$2B-$10B,372000000,16393000000,-375000000,-264000000,735000000,-12.2024
CLB,$100M-$500M,2373000,593617000,6064000,-2038000,-3169000,-14.4477
CLNE,$100M-$500M,-38697000,1259458000,-772000,60522000,-19004000,-16.1049
CLW,$500M-$1B,23800000,1671800000,-6300000,-21500000,-9100000,-69.7684
CLX,$2B-$10B,-27000000,5945000000,-526000000,-142000000,728000000,-29.5591
CMCO,$500M-$1B,29660000,1685707000,420700000,-554311000,48881000,-53.6667
CMCSA,$10B-$50B,3834000000,264811000000,-3082000000,-3370000000,7228000000,-23.3077
CME,$1B-$2B,883800000,129706100000,-9198500000,-17200000,902400000,43.6545
CMG,$2B-$10B,291644000,8044362000,-193883000,-235549000,455036000,-45.725
CMI,$2B-$10B,806000000,32005000000,-363000000,-228000000,495000000,136.6129
CMP,$500M-$1B,-21900000,1818000000,102900000,-49600000,149500000,151.2993
CMS,$2B-$10B,204000000,33517000000,27000000,-651000000,1040000000,27.7165
CNDT,$500M-$1B,-6000000,3162000000,-19000000,-22000000,-12000000,-46.7593
CNK,$500M-$1B,-3100000,5230600000,-12900000,-55000000,-42200000,35.9613
CNMD,$100M-$500M,1819000,2300021000,5350000,-4254000,-3847000,-44.1943
CNNE,$100M-$500M,-4100000,3132800000,1200000,-44400000,-19700000,-26.8172
