quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,ONEW,$500M-$1B,1,-1,-1,-1,1,-1,weak,,,,,,,2024-07-31,25.879999,-12.5966,-9.6213,-7.1484,-7.6121,-11.9011
2024Q3,ONTO,$100M-$500M,2,2,2,1,0,7,strong,,,,,,,2024-08-09,190.000000,12.6158,10.0316,-4.9316,9.9105,-7.2158
2024Q3,OPCH,$1B-$2B,1,1,2,1,0,5,good,,,,,,,2024-08-01,29.969999,1.9019,3.5369,8.0080,4.4378,-21.4214
2024Q3,OPLN,$100M-$500M,1,2,2,-1,0,4,good,,Tier 0 - Broad right-tail scouting universe,,,,,2024-08-08,16.219999,6.3502,5.9186,0.5549,-3.0210,7.7682
2024Q3,OPTU,$2B-$10B,1,2,-1,0,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",2024-08-02,1.780000,-10.1124,3.9326,1.1236,35.9551,36.5169
2024Q3,ORGO,$100M-$500M,-1,-1,-1,1,0,-2,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",2024-08-09,2.800000,-4.6429,3.5714,-9.2857,6.7857,16.4286
2024Q3,ORLY,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-07-25,70.047333,5.2165,7.4721,6.6212,6.5794,14.1371
2024Q3,ORN,$100M-$500M,-1,-1,-1,0,0,-3,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,2024-07-26,8.010000,-15.3558,-9.8627,-0.3745,-30.3371,-30.4619
2024Q3,OSCR,$1B-$2B,-1,2,2,0,0,3,good,,Tier 0 - Broad right-tail scouting universe,,,,,2024-08-08,17.010000,3.5861,1.5285,2.7043,8.6420,-8.5832
2024Q3,OSIS,$500M-$1B,1,1,2,1,1,6,strong,,,,,,,2024-08-23,157.149994,-9.8123,-9.6786,-7.1842,-10.5377,5.2052
