quarter,ticker,cik,asof_date
2024Q1,FLNC,0001868941,2024-02-07
2024Q1,FLR,1124198,2024-02-20
2024Q1,FLXS,37472,2024-01-11
2024Q1,FN,1408710,2024-02-05
2024Q1,FNKO,1704711,2024-03-07
2024Q1,FOR,1406587,2024-01-23
2024Q1,FORM,1039399,2024-02-07
2024Q1,FORR,1023313,2024-02-08
2024Q1,FOXF,1424929,2024-02-22
2024Q1,FRSH,1544522,2024-02-06
2024Q1,FRT,34903,2024-02-12
2024Q1,FSLR,1274494,2024-02-27
2024Q1,FSTR,352825,2024-03-05
2024Q1,FTAI,1590364,2024-02-22
2024Q1,FTDR,1727263,2024-02-28
2024Q1,FTNT,1262039,2024-02-06
2024Q1,FTRE,0001965040,2024-01-08
2024Q1,FTV,1659166,2024-01-31
2024Q1,FUBO,1484769,2024-03-01
2024Q1,FWONA,1560385,2024-02-28
2024Q1,FWONK,1560385,2024-02-28
2024Q1,FWRD,912728,2024-02-29
2024Q1,FWRG,1789940,2024-01-08
2024Q1,GATX,40211,2024-01-23
2024Q1,GBTG,1820872,2024-03-05
2024Q1,GBX,923120,2024-01-05
2024Q1,GCO,18498,2024-03-08
2024Q1,GCT,0001857816,2024-03-15
2024Q1,GD,40533,2024-01-24
2024Q1,GDDY,1609711,2024-02-13
2024Q1,GDEN,1071255,2024-02-29
2024Q1,GDOT,1386278,2024-02-27
2024Q1,GDRX,1809519,2024-01-10
2024Q1,GEF,43920,2024-03-01
2024Q1,GEHC,0001932393,2024-02-06
2024Q1,GEN,849399,2024-02-01
2024Q1,GEO,923796,2024-02-22
2024Q1,GFF,50725,2024-02-07
2024Q1,GH,1576280,2024-01-08
2024Q1,GHC,104889,2024-02-23
2024Q1,GHM,716314,2024-02-05
2024Q1,GIC,945114,2024-02-29
2024Q1,GIII,821002,2024-03-14
2024Q1,GILD,882095,2024-02-06
2024Q1,GIS,40704,2024-03-20
2024Q1,GL,320335,2024-02-07
2024Q1,GLPI,1575965,2024-02-28
2024Q1,GLW,24741,2024-01-30
2024Q1,GNE,1528356,2024-03-11
2024Q1,GNTX,355811,2024-01-26
2024Q1,GNW,1276520,2024-02-06
2024Q1,GO,1771515,2024-02-27
2024Q1,GOLD,1591588,2024-02-09
2024Q1,GOLF,1672013,2024-02-29
2024Q1,GPC,40987,2024-02-15
2024Q1,GPI,1031203,2024-01-31
2024Q1,GPN,1123360,2024-02-14
2024Q1,GPOR,874499,2024-02-27
2024Q1,GRBK,1373670,2024-02-29
2024Q1,GRC,42682,2024-02-02
2024Q1,GRMN,1121788,2024-02-21
2024Q1,GRPN,1490281,2024-01-12
2024Q1,GT,42582,2024-02-12
2024Q1,GTLB,1653482,2024-03-04
2024Q1,GTLS,892553,2024-02-28
2024Q1,GTM,1794515,2024-02-12
2024Q1,GTX,1735707,2024-02-15
2024Q1,GWW,277135,2024-02-02
2024Q1,HAE,313143,2024-02-08
2024Q1,HAIN,910406,2024-02-07
2024Q1,HAL,45012,2024-01-23
2024Q1,HALO,1159036,2024-01-17
2024Q1,HAS,46080,2024-02-13
2024Q1,HBAN,49196,2024-01-19
2024Q1,HBANL,49196,2024-01-19
2024Q1,HBANP,49196,2024-01-19
2024Q1,HBB,1709164,2024-03-06
2024Q1,HCC,1691303,2024-02-14
2024Q1,HCI,1400810,2024-03-07
2024Q1,HCSG,731012,2024-02-14
2024Q1,HE,354707,2024-02-13
2024Q1,HELE,916789,2024-01-08
2024Q1,HG,0001593275,2024-03-06
2024Q1,HGV,1674168,2024-02-29
2024Q1,HIG,874766,2024-02-01
2024Q1,HII,1501585,2024-02-01
2024Q1,HIMS,1773751,2024-02-26
2024Q1,HLF,1180262,2024-02-14
2024Q1,HLIO,1024795,2024-02-26
2024Q1,HLIT,851310,2024-01-29
2024Q1,HLMN,1822492,2024-02-22
2024Q1,HLNE,1433642,2024-02-06
2024Q1,HLT,1585689,2024-02-07
2024Q1,HLX,866829,2024-02-27
2024Q1,HMN,850141,2024-02-07
2024Q1,HNI,48287,2024-02-22
2024Q1,HON,773840,2024-02-01
2024Q1,HOV,357294,2024-02-22
2024Q1,HP,46765,2024-01-29
2024Q1,HPP,1482512,2024-02-12
2024Q1,HQY,1428336,2024-02-21
2024Q1,HRI,1364479,2024-02-13
2024Q1,HRL,48465,2024-02-29
2024Q1,HRMY,1802665,2024-01-08
2024Q1,HRTG,1598665,2024-03-11
2024Q1,HSIC,1000228,2024-02-27
2024Q1,HST,1070750,2024-02-21
2024Q1,HSY,47111,2024-02-08
2024Q1,HTH,1265131,2024-01-25
2024Q1,HTLD,799233,2024-02-02
2024Q1,HTO,766829,2024-02-22
2024Q1,HTZ,1657853,2024-01-11
2024Q1,HUBB,48898,2024-01-30
2024Q1,HUBS,1404655,2024-02-14
2024Q1,HURC,315374,2024-01-05
2024Q1,HVT,216085,2024-02-22
2024Q1,HWKN,46250,2024-01-31
2024Q1,HWM,4281,2024-02-13
