ticker,indexes,name
UDR,SPY,"UDR, Inc."
UHS,SPY,Universal Health Services
ULTA,SPY,Ulta Beauty
UNH,DOW;SPY,UnitedHealth Group
UNP,SPY,Union Pacific Corporation
UPS,SPY,United Parcel Service
URI,SPY,United Rentals
USB,SPY,U.S. Bancorp
V,DOW;SPY,Visa Inc.
VICI,SPY,Vici Properties
VLO,SPY,Valero Energy
VLTO,SPY,Veralto
VMC,SPY,Vulcan Materials Company
VRSK,QQQ;SPY,Verisk Analytics
VRSN,SPY,Verisign
VRT,SPY,Vertiv
VRTX,QQQ;SPY,Vertex Pharmaceuticals
VST,SPY,Vistra Corp.
VTR,SPY,Ventas
VTRS,SPY,Viatris
VZ,DOW;SPY,Verizon
WAB,SPY,Wabtec
WAT,SPY,Waters Corporation
WBD,QQQ;SPY,Warner Bros. Discovery
WDAY,QQQ;SPY,"Workday, Inc."
WDC,QQQ;SPY,Western Digital
WEC,SPY,WEC Energy Group
WELL,SPY,Welltower
WFC,SPY,Wells Fargo
WM,SPY,Waste Management
WMB,SPY,Williams Companies
WMT,DOW;QQQ;SPY,Walmart
WRB,SPY,W. R. Berkley Corporation
WSM,SPY,"Williams-Sonoma, Inc."
WST,SPY,West Pharmaceutical Services
WTW,SPY,Willis Towers Watson
WY,SPY,Weyerhaeuser
WYNN,SPY,Wynn Resorts
XEL,QQQ;SPY,Xcel Energy
XOM,SPY,ExxonMobil
XYL,SPY,Xylem Inc.
XYZ,SPY,"Block, Inc."
YUM,SPY,Yum! Brands
ZBH,SPY,Zimmer Biomet
ZBRA,SPY,Zebra Technologies
ZS,QQQ,Zscaler
ZTS,SPY,Zoetis
