quarter,asof_date,ticker,included,filter_reason,liquidity_flag,asset_class,sector_gics,seed_sources,sec_facts_status,cik,revenue_fact_name,revenue_filed,revenue_form,revenue_period_end,revenue_value,price_date,raw_close,avg_dollar_volume_60d
2024Q3,2024-07-01,UCB,True,included,,Equity,,russell2000,ok,857855,Revenues,2024-05-09,10-Q,2023-03-31,219896000,2024-07-01,25.100000381469727,12766916.319405237
2024Q3,2024-07-01,UCTT,True,included,,Equity,Technology,nasdaq;russell2000,ok,1275014,Revenues,2024-03-06,10-K,2021-12-31,2101600000,2024-07-01,50.189998626708984,11743078.096847534
2024Q3,2024-07-01,UDR,True,included,,Equity,,sp500,ok,74208,Revenues,2024-05-01,10-Q,2023-03-31,399549000,2024-07-01,41.040000915527344,93462738.0447642
2024Q3,2024-07-01,UE,True,included,,Equity,,russell2000,ok,1611547,Revenues,2024-05-07,10-Q,2023-03-31,99441000,2024-07-01,18.200000762939453,16133475.237622261
2024Q3,2024-07-01,UEC,True,included,,Equity,,russell2000,ok,1334933,Revenues,2024-06-10,10-Q,2023-04-30,125440000,2024-07-01,5.760000228881836,42663210.308126606
2024Q3,2024-07-01,UEIC,True,included,low_liquidity_keep,Equity,,nasdaq,ok,101984,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-06,10-Q,2023-03-31,108377000,2024-07-01,11.220000267028809,742170.0692717234
2024Q3,2024-07-01,UFCS,True,included,,Equity,,nasdaq;russell2000,ok,101199,Revenues,2024-05-08,10-Q,2023-03-31,267104000,2024-07-01,21.139999389648438,2523840.0168800354
2024Q3,2024-07-01,UFPI,True,included,,Equity,,nasdaq;russell2000,ok,912767,Revenues,2018-11-07,10-Q,2017-09-30,2975091000,2024-07-01,110.31999969482422,34364184.47031657
2024Q3,2024-07-01,UFPT,True,included,,Equity,,nasdaq;russell2000,ok,914156,SalesRevenueNet,2018-03-16,10-K,2015-12-31,138850000,2024-07-01,289.0899963378906,13200292.343648275
2024Q3,2024-07-01,UHS,True,included,,Equity,Healthcare,sp500,ok,352915,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,3467518000,2024-07-01,182.1999969482422,118561768.89167786
2024Q3,2024-07-01,UHT,True,included,,Equity,,russell2000,ok,798783,Revenues,2024-05-08,10-Q,2023-03-31,23226000,2024-07-01,38.060001373291016,2685131.87470754
2024Q3,2024-07-01,UIS,True,included,,Equity,,russell2000,ok,746838,Revenues,2024-05-08,10-Q,2023-03-31,516400000,2024-07-01,4.139999866485596,2567176.644498507
2024Q3,2024-07-01,ULBI,True,included,low_liquidity_keep,Equity,,nasdaq,ok,875657,Revenues,2024-04-25,10-Q,2023-03-31,31916000,2024-07-01,10.25,1323252.8791300457
2024Q3,2024-07-01,ULCC,True,included,,Equity,,nasdaq;russell2000,ok,1670076,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,848000000,2024-07-01,4.769999980926514,9174254.2861557
