quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,adv_bucket_fine
2024Q3,RKLB,2024-08-08,<$100M,54.895,32729365.91,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,106,,,5,5,6,6,1,24565,2024-08-09,5.350000,34.3925,16.4486,14.7664,75.8879,151.5888,$25M-$50M ADV
2024Q3,ROIV,2024-08-08,<$100M,61.28,53134630.85,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,6,6,6,1,16726,2024-08-09,10.850000,5.8986,10.7834,15.2074,3.9631,8.3871,$50M-$75M ADV
2024Q3,ROOT,2024-08-07,<$100M,70.1,29929637.09,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,2,6,6,1,39238,2024-08-08,48.419998,1.0739,-13.5068,-22.3668,-21.9744,52.3751,$25M-$50M ADV
2024Q3,RVMD,2024-08-07,<$100M,7.014,50151351.1,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,3.8,,,2,6,6,6,1,17400,2024-08-08,40.099998,8.8529,6.3591,5.0374,18.0549,48.1796,$50M-$75M ADV
2024Q3,RXRX,2024-08-08,<$100M,12.134,46029682.4,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1000,,,6,6,6,6,3,122190,2024-08-09,6.830000,4.6852,8.4919,-10.3953,-5.7101,1.4641,$25M-$50M ADV
2024Q3,SILA,2024-08-06,<$100M,49.644,27459282.14,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,3,6,6,1,27208,2024-08-07,23.480000,-4.0886,2.9387,9.2419,7.5809,8.1346,$25M-$50M ADV
2024Q3,SMMT,2024-08-06,<$100M,0.705,28725321.67,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,4,5,6,6,2,49822,2024-08-07,9.500000,28.9474,41.7895,29.1579,99.1579,114.6316,$25M-$50M ADV
2024Q3,SMR,2024-08-08,<$100M,5.505,38366486.93,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1,,,3,2,6,6,1,8699,2024-08-09,8.280000,13.7681,-1.6908,-8.5749,55.7971,161.7150,$25M-$50M ADV
2024Q3,SOFI,2024-07-30,<$100M,95.482,279527748.06,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,599,,,6,6,6,6,1,62842,2024-07-31,7.480000,-13.3690,-1.4706,6.8182,5.0802,39.9733,>$100M ADV
2024Q3,SOUN,2024-08-08,<$100M,16.046,110605142.8,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,13.5,,,6,4,6,6,2,25073,2024-08-09,5.100000,-2.9412,-5.0980,-9.4118,-8.2353,36.2745,>$100M ADV
